date,events_total,active_hours,first_hour,last_hour,night_events,unique_types,params_key_count_mean,file_events,login_attempt,login_successful,unique_paths,path_depth_mean,unique_dir1,unique_dir2,night_fraction,login_success_rate,path_reuse_ratio,anomaly_score,num_flagged_features,top_contributors
2017-07-17,688,18,0,22,36,3,1.0,638,25,25,228,7.130813953488372,1,2,0.0523255813952727,0.99999999996,2.798245614022815,23.337158545110523,4,file_events=638 vs p95=53.2 (11.99x); unique_paths=228 vs p95=28.5 (7.99x); events_total=688 vs p95=151 (4.55x); path_depth_mean=7.13 vs p95=2.54 (2.81x)
2017-07-28,325,13,1,22,12,5,1.0,287,18,18,264,6.073846153846154,1,2,0.0369230769229633,0.9999999999444444,1.0871212121170943,15.184427553668582,4,unique_paths=264 vs p95=28.5 (9.25x); file_events=287 vs p95=53.2 (5.39x); path_depth_mean=6.07 vs p95=2.54 (2.39x); events_total=325 vs p95=151 (2.15x)
2017-08-24,156,18,0,22,20,3,1.0,106,25,25,70,3.83974358974359,1,1,0.1282051282043063,0.99999999996,1.5142857142640815,2.9892609052120807,4,unique_paths=70 vs p95=28.5 (2.45x); file_events=106 vs p95=53.2 (1.99x); path_depth_mean=3.84 vs p95=2.54 (1.51x); events_total=156 vs p95=151 (1.03x)
2017-08-01,60,15,0,23,24,3,1.0,6,27,27,6,0.2,3,3,0.3999999999933333,0.999999999962963,0.9999999998333332,1.9999999969999998,1,unique_dir1=3 vs p95=1 (3.00x)
2017-07-15,156,24,0,23,36,3,1.0,32,62,62,3,0.7371794871794872,1,2,0.2307692307677515,0.999999999983871,10.66666666311111,0.8483231297461352,6,login_attempt=62 vs p95=48 (1.29x); login_successful=62 vs p95=48 (1.29x); active_hours=24 vs p95=20 (1.20x); path_reuse_ratio=10.7 vs p95=10.3 (1.03x); events_total=156 vs p95=151 (1.03x)
2017-09-18,16,5,0,6,14,2,1.0,0,8,8,0,0.0,0,0,0.8749999999453125,0.999999999875,0.0,0.7030871205225131,1,night_fraction=0.875 vs p95=0.514 (1.70x)
2017-07-08,150,19,0,23,41,3,1.0,48,51,51,3,1.1733333333333331,1,2,0.2733333333315111,0.9999999999803922,15.999999994666666,0.6758885286935422,4,path_reuse_ratio=16 vs p95=10.3 (1.55x); login_attempt=51 vs p95=48 (1.06x); login_successful=51 vs p95=48 (1.06x); login_success_rate=1 vs p95=1 (1.00x)
2017-08-08,67,14,1,23,12,8,1.1194029850746268,5,18,18,11,1.82089552238806,1,1,0.1791044776092671,0.9999999999444444,0.4545454545041322,0.5999999996800001,1,unique_types=8 vs p95=5 (1.60x)
2017-07-20,116,12,1,20,12,3,1.0,70,23,23,9,3.1293103448275863,1,2,0.1034482758611771,0.9999999999565218,7.77777777691358,0.5495671844264365,2,file_events=70 vs p95=53.2 (1.32x); path_depth_mean=3.13 vs p95=2.54 (1.23x)
2017-10-02,77,13,9,23,0,3,1.0,31,23,23,2,2.0259740259740258,1,1,0.0,0.9999999999565218,15.49999999225,0.5024232629319152,1,path_reuse_ratio=15.5 vs p95=10.3 (1.50x)
2017-08-22,42,10,0,22,28,2,1.0,0,21,21,0,0.0,0,0,0.6666666666507937,0.999999999952381,0.0,0.2975901871149762,1,night_fraction=0.667 vs p95=0.514 (1.30x)
2017-07-16,110,22,0,23,30,3,1.0,24,43,43,2,0.7636363636363637,1,2,0.2727272727247933,0.9999999999767444,11.999999994,0.2631663970535796,2,path_reuse_ratio=12 vs p95=10.3 (1.16x); active_hours=22 vs p95=20 (1.10x)
2017-07-14,152,20,0,23,39,3,1.0,44,54,54,6,1.1776315789473684,1,3,0.256578947366733,0.9999999999814816,7.333333332111111,0.2546265686778154,4,login_attempt=54 vs p95=48 (1.12x); login_successful=54 vs p95=48 (1.12x); events_total=152 vs p95=151 (1.00x); login_success_rate=1 vs p95=1 (1.00x)
2017-10-03,108,19,0,21,22,3,1.0,56,26,26,32,2.6481481481481484,1,2,0.2037037037018175,0.9999999999615384,1.7499999999453126,0.21754448087440914,3,unique_paths=32 vs p95=28.5 (1.12x); file_events=56 vs p95=53.2 (1.05x); path_depth_mean=2.65 vs p95=2.54 (1.04x)
2017-09-14,78,18,0,23,24,6,1.0128205128205128,3,36,36,3,0.3333333333333333,1,1,0.3076923076883629,0.9999999999722224,0.9999999996666666,0.19999999975999994,1,unique_types=6 vs p95=5 (1.20x)
2017-07-10,138,18,0,23,45,3,1.0,36,51,51,5,0.9637681159420288,1,2,0.3260869565193762,0.9999999999803922,7.19999999856,0.12499999895695468,3,login_attempt=51 vs p95=48 (1.06x); login_successful=51 vs p95=48 (1.06x); login_success_rate=1 vs p95=1 (1.00x)
2017-07-27,70,13,0,23,14,3,1.0,32,19,19,31,1.7142857142857142,1,3,0.1999999999971428,0.9999999999473684,1.0322580644828303,0.08581436073254811,1,unique_paths=31 vs p95=28.5 (1.09x)
2017-08-21,58,13,0,23,32,4,1.0,0,28,28,1,0.1034482758620689,1,1,0.5517241379215221,0.9999999999642856,0.0,0.07386774106772354,1,night_fraction=0.552 vs p95=0.514 (1.07x)
2017-07-09,123,18,0,23,32,3,1.0,33,45,45,3,0.983739837398374,1,2,0.2601626016239011,0.999999999977778,10.999999996333331,0.06623586419390359,1,path_reuse_ratio=11 vs p95=10.3 (1.07x)
2017-09-21,46,12,0,23,24,2,1.0,0,23,23,0,0.0,0,0,0.5217391304234404,0.9999999999565218,0.0,0.01550536383121437,1,night_fraction=0.522 vs p95=0.514 (1.02x)
2017-08-28,70,17,0,23,36,3,1.0,6,32,32,2,0.4,1,1,0.5142857142783673,0.99999999996875,2.9999999985,0.0009981443553721547,1,night_fraction=0.514 vs p95=0.514 (1.00x)
2017-07-07,77,12,9,23,0,3,1.0,23,27,27,5,1.155844155844156,1,2,0.0,0.999999999962963,4.59999999908,0.0,0,No features exceeded p95
2017-07-11,130,20,0,23,39,3,1.0,34,48,48,5,0.9230769230769232,1,3,0.2999999999976923,0.9999999999791668,6.79999999864,0.0,0,No features exceeded p95
2017-07-12,140,18,0,23,38,3,1.0,46,47,47,7,1.2357142857142858,1,3,0.2714285714266327,0.9999999999787236,6.571428570489796,0.0,0,No features exceeded p95
2017-07-13,122,18,0,22,26,3,1.0,42,40,40,20,1.2540983606557377,1,3,0.2131147540966138,0.999999999975,2.099999999895,0.0,0,No features exceeded p95
2017-07-18,73,12,0,22,19,3,1.0,29,22,22,3,2.328767123287671,1,2,0.2602739725991743,0.9999999999545456,9.666666663444444,0.0,0,No features exceeded p95
2017-07-19,62,14,0,23,28,3,1.0,22,20,20,4,1.7903225806451613,1,2,0.4516129032185224,0.99999999995,5.499999998625,0.0,0,No features exceeded p95
2017-07-21,86,14,0,22,35,3,1.0,32,27,27,5,1.848837209302325,1,2,0.4069767441813142,0.999999999962963,6.39999999872,0.0,0,No features exceeded p95
2017-07-22,49,12,0,23,19,3,1.0,3,23,23,3,0.3469387755102041,1,2,0.387755102032903,0.9999999999565218,0.9999999996666666,0.0,0,No features exceeded p95
2017-07-23,86,15,0,23,24,2,1.0,0,43,43,0,0.0,0,0,0.2790697674386154,0.9999999999767444,0.0,0.0,0,No features exceeded p95
2017-07-24,68,9,1,23,26,3,1.0,24,22,22,24,1.1470588235294117,1,1,0.3823529411708477,0.9999999999545456,0.9999999999583332,0.0,0,No features exceeded p95
2017-07-25,40,10,1,23,20,2,1.0,0,20,20,0,0.0,0,0,0.4999999999875,0.99999999995,0.0,0.0,0,No features exceeded p95
2017-07-26,47,10,1,22,16,3,1.0,1,23,23,1,0.0851063829787234,1,1,0.3404255319076505,0.9999999999565218,0.999999999,0.0,0,No features exceeded p95
2017-07-29,44,12,0,22,12,2,1.0,0,22,22,0,0.0,0,0,0.2727272727210744,0.9999999999545456,0.0,0.0,0,No features exceeded p95
2017-07-30,54,11,0,23,20,2,1.0,0,27,27,0,0.0,0,0,0.3703703703635116,0.999999999962963,0.0,0.0,0,No features exceeded p95
2017-07-31,38,9,1,23,14,2,1.0,0,19,19,0,0.0,0,0,0.3684210526218837,0.9999999999473684,0.0,0.0,0,No features exceeded p95
2017-08-02,47,9,1,20,20,3,1.0,5,21,21,5,0.3191489361702128,1,1,0.4255319148845631,0.999999999952381,0.9999999998,0.0,0,No features exceeded p95
2017-08-03,57,16,0,23,18,3,1.0,11,23,23,6,0.7368421052631579,1,2,0.3157894736786704,0.9999999999565218,1.8333333330277777,0.0,0,No features exceeded p95
2017-08-04,77,16,1,22,24,3,1.0,1,38,38,1,0.0649350649350649,1,1,0.3116883116842637,0.9999999999736844,0.999999999,0.0,0,No features exceeded p95
2017-08-05,71,15,0,23,12,3,1.0,1,35,35,1,0.0704225352112676,1,1,0.1690140845046617,0.9999999999714286,0.999999999,0.0,0,No features exceeded p95
2017-08-06,78,13,3,22,16,2,1.0,0,39,39,0,0.0,0,0,0.2051282051255752,0.9999999999743592,0.0,0.0,0,No features exceeded p95
2017-08-07,55,12,0,23,20,5,1.0,1,26,26,1,0.1636363636363636,1,1,0.3636363636297521,0.9999999999615384,0.999999999,0.0,0,No features exceeded p95
2017-08-09,45,13,1,23,14,3,1.0,17,14,14,7,2.1777777777777776,1,2,0.3111111111041975,0.9999999999285716,2.42857142822449,0.0,0,No features exceeded p95
2017-08-10,84,12,1,23,16,3,1.0,22,31,31,22,1.4642857142857142,1,1,0.1904761904739229,0.999999999967742,0.9999999999545456,0.0,0,No features exceeded p95
2017-08-11,56,11,1,22,16,2,1.0,0,28,28,0,0.0,0,0,0.2857142857091836,0.9999999999642856,0.0,0.0,0,No features exceeded p95
2017-08-12,46,12,0,22,12,2,1.0,0,23,23,0,0.0,0,0,0.2608695652117202,0.9999999999565218,0.0,0.0,0,No features exceeded p95
2017-08-13,58,12,0,22,16,2,1.0,0,29,29,0,0.0,0,0,0.275862068960761,0.9999999999655173,0.0,0.0,0,No features exceeded p95
2017-08-14,86,17,0,23,12,2,1.0,0,43,43,0,0.0,0,0,0.1395348837193077,0.9999999999767444,0.0,0.0,0,No features exceeded p95
2017-08-15,88,18,0,23,32,2,1.0,0,44,44,0,0.0,0,0,0.3636363636322314,0.9999999999772728,0.0,0.0,0,No features exceeded p95
2017-08-16,56,16,0,23,22,2,1.0,0,28,28,0,0.0,0,0,0.3928571428501275,0.9999999999642856,0.0,0.0,0,No features exceeded p95
2017-08-17,69,15,0,23,24,5,1.0,3,32,32,4,0.2898550724637681,1,1,0.3478260869514807,0.99999999996875,0.7499999998125,0.0,0,No features exceeded p95
2017-08-18,88,20,0,23,24,5,1.0,2,42,42,1,0.1363636363636363,1,1,0.2727272727241735,0.9999999999761906,1.999999998,0.0,0,No features exceeded p95
2017-08-19,96,19,0,23,32,2,1.0,0,48,48,0,0.0,0,0,0.3333333333298611,0.9999999999791668,0.0,0.0,0,No features exceeded p95
2017-08-20,78,18,0,23,32,2,1.0,0,39,39,0,0.0,0,0,0.4102564102511505,0.9999999999743592,0.0,0.0,0,No features exceeded p95
2017-08-23,62,16,0,23,22,3,1.0,6,28,28,1,0.4838709677419355,1,1,0.3548387096716962,0.9999999999642856,5.999999994,0.0,0,No features exceeded p95
2017-08-25,92,17,0,23,34,2,1.0,0,46,46,0,0.0,0,0,0.3695652173872873,0.999999999978261,0.0,0.0,0,No features exceeded p95
2017-08-26,94,17,0,23,36,2,1.0,0,47,47,0,0.0,0,0,0.3829787234001811,0.9999999999787236,0.0,0.0,0,No features exceeded p95
2017-08-27,96,19,0,23,24,2,1.0,0,48,48,0,0.0,0,0,0.2499999999973958,0.9999999999791668,0.0,0.0,0,No features exceeded p95
2017-08-29,72,15,0,22,36,3,1.0,1,40,31,1,0.0694444444444444,1,1,0.4999999999930555,0.7749999999806251,0.999999999,0.0,0,No features exceeded p95
2017-08-30,39,11,0,22,20,3,1.0,1,19,19,1,0.0769230769230769,1,1,0.5128205128073636,0.9999999999473684,0.999999999,0.0,0,No features exceeded p95
2017-08-31,81,15,0,23,28,2,1.0,0,41,40,0,0.0,0,0,0.3456790123414113,0.9756097560737657,0.0,0.0,0,No features exceeded p95
2017-09-01,79,18,0,23,36,5,1.0,1,37,37,1,0.189873417721519,1,1,0.4556962025258772,0.9999999999729732,0.999999999,0.0,0,No features exceeded p95
2017-09-02,74,15,0,22,20,2,1.0,0,37,37,0,0.0,0,0,0.2702702702666179,0.9999999999729732,0.0,0.0,0,No features exceeded p95
2017-09-03,75,15,0,22,20,3,1.0,1,37,37,1,0.04,1,1,0.2666666666631111,0.9999999999729732,0.999999999,0.0,0,No features exceeded p95
2017-09-04,54,11,0,23,16,2,1.0,0,27,27,0,0.0,0,0,0.2962962962908093,0.999999999962963,0.0,0.0,0,No features exceeded p95
2017-09-05,70,20,0,23,26,3,1.0,4,33,33,3,0.2142857142857142,1,2,0.3714285714232653,0.9999999999696972,1.3333333328888888,0.0,0,No features exceeded p95
2017-09-06,62,16,0,23,20,3,1.0,2,30,30,1,0.0967741935483871,1,1,0.3225806451560874,0.9999999999666668,1.999999998,0.0,0,No features exceeded p95
2017-09-07,82,17,0,23,26,3,1.0,12,36,34,10,0.6951219512195121,1,2,0.3170731707278406,0.94444444441821,1.19999999988,0.0,0,No features exceeded p95
2017-09-08,65,17,0,23,28,3,1.0,3,31,31,1,0.2307692307692307,1,1,0.4307692307626035,0.999999999967742,2.999999997,0.0,0,No features exceeded p95
2017-09-09,82,18,0,23,32,2,1.0,0,41,41,0,0.0,0,0,0.3902439024342653,0.9999999999756098,0.0,0.0,0,No features exceeded p95
2017-09-10,74,19,0,23,24,2,1.0,0,37,37,0,0.0,0,0,0.3243243243199415,0.9999999999729732,0.0,0.0,0,No features exceeded p95
2017-09-11,60,14,0,23,28,2,1.0,0,30,30,0,0.0,0,0,0.4666666666588889,0.9999999999666668,0.0,0.0,0,No features exceeded p95
2017-09-12,57,14,0,23,28,3,1.0,3,27,27,2,0.1578947368421052,1,1,0.4912280701668206,0.999999999962963,1.49999999925,0.0,0,No features exceeded p95
2017-09-13,81,15,0,23,21,3,1.0,3,39,39,1,0.1111111111111111,1,1,0.2592592592560585,0.9999999999743592,2.999999997,0.0,0,No features exceeded p95
2017-09-15,81,16,0,23,32,3,1.0,7,37,37,7,0.3703703703703703,1,1,0.3950617283901844,0.9999999999729732,0.9999999998571428,0.0,0,No features exceeded p95
2017-09-16,90,17,0,23,32,2,1.0,0,45,45,0,0.0,0,0,0.3555555555516049,0.999999999977778,0.0,0.0,0,No features exceeded p95
2017-09-17,78,16,0,23,16,2,1.0,0,39,39,0,0.0,0,0,0.2051282051255752,0.9999999999743592,0.0,0.0,0,No features exceeded p95
2017-09-19,48,9,6,23,0,2,1.0,0,24,24,0,0.0,0,0,0.0,0.9999999999583332,0.0,0.0,0,No features exceeded p95
2017-09-20,94,18,0,23,28,3,1.0,24,35,35,17,1.24468085106383,1,1,0.297872340422363,0.9999999999714286,1.411764705799308,0.0,0,No features exceeded p95
2017-09-22,66,14,0,23,20,2,1.0,0,33,33,0,0.0,0,0,0.3030303030257116,0.9999999999696972,0.0,0.0,0,No features exceeded p95
2017-09-23,62,12,1,23,16,2,1.0,0,31,31,0,0.0,0,0,0.2580645161248699,0.999999999967742,0.0,0.0,0,No features exceeded p95
2017-09-24,56,12,1,23,8,2,1.0,0,28,28,0,0.0,0,0,0.1428571428545918,0.9999999999642856,0.0,0.0,0,No features exceeded p95
2017-09-25,54,12,1,23,16,2,1.0,0,27,27,0,0.0,0,0,0.2962962962908093,0.999999999962963,0.0,0.0,0,No features exceeded p95
2017-09-26,32,8,1,23,12,2,1.0,0,16,16,0,0.0,0,0,0.3749999999882813,0.9999999999375,0.0,0.0,0,No features exceeded p95
2017-09-27,68,11,1,22,10,3,1.0,8,30,30,8,0.4411764705882353,1,2,0.1470588235272491,0.9999999999666668,0.999999999875,0.0,0,No features exceeded p95
2017-09-28,82,18,0,23,14,3,1.0,6,38,38,5,0.3658536585365853,1,1,0.170731707314991,0.9999999999736844,1.19999999976,0.0,0,No features exceeded p95
2017-09-29,38,11,0,12,16,3,1.0,16,11,11,4,2.1052631578947367,1,1,0.4210526315678671,0.9999999999090908,3.999999999,0.0,0,No features exceeded p95
2017-10-01,16,2,17,18,0,2,1.0,0,8,8,0,0.0,0,0,0.0,0.999999999875,0.0,0.0,0,No features exceeded p95
